           tauB                     NinLC                      phiL          
          53.40                     75164                    0.18835                   1.33909         
          53.50                     75033                    0.19167                   1.33907         
          53.60                     75246                    0.18863                   1.33913         
          53.70                     75369                    0.18852                   1.33889         
          53.80                     75454                    0.18851                   1.33709         
          53.90                     75374                    0.19055                   1.33662         
          54.00                     75479                    0.18875                   1.33449         
          54.10                     75536                    0.18897                   1.33384         
          54.20                     75704                    0.18882                   1.33437         
          54.30                     75643                    0.18856                   1.33636         
          54.40                     75735                    0.18979                   1.33764         
          54.50                     76017                    0.18757                   1.33561         
          54.60                     75962                    0.18983                   1.33659         
          54.70                     75903                    0.19094                   1.33876         
          54.80                     75985                    0.18996                   1.34093         
          54.90                     76020                    0.19120                   1.34198         
          55.00                     76223                    0.18874                   1.34010         
          55.10                     76426                    0.18880                   1.33965         
          55.20                     76706                    0.18788                   1.33788         
          55.30                     76835                    0.18674                   1.33693         
          55.40                     77170                    0.18406                   1.33467         
          55.50                     77431                    0.18457                   1.33240         
          55.60                     77375                    0.18592                   1.33221         
          55.70                     77512                    0.18525                   1.33333         
          55.80                     77444                    0.18754                   1.33673         
          55.90                     77518                    0.18847                   1.33537         
          56.00                     77537                    0.18931                   1.33427         
          56.10                     77534                    0.19007                   1.33409         
          56.20                     77800                    0.18839                   1.33236         
          56.30                     77944                    0.18981                   1.33123         
          56.40                     78079                    0.18812                   1.33094         
          56.50                     78084                    0.18934                   1.33221         
          56.60                     78151                    0.18937                   1.33259         
          56.70                     78071                    0.19124                   1.33538         
          56.80                     78134                    0.19196                   1.33909         
          56.90                     78309                    0.18894                   1.34186         
          57.00                     78442                    0.18674                   1.34456         
          57.10                     78531                    0.18889                   1.34655         
          57.20                     78702                    0.18760                   1.34748         
          57.30                     78853                    0.18674                   1.34738         
          57.40                     79029                    0.18621                   1.34540         
          57.50                     79232                    0.18739                   1.34281         
          57.60                     79303                    0.18683                   1.34329         
          57.70                     79378                    0.18762                   1.34254         
          57.80                     79416                    0.18921                   1.34318         
          57.90                     79532                    0.18819                   1.34243         
          58.00                     79699                    0.18770                   1.34148         
          58.10                     79928                    0.18702                   1.33927         
          58.20                     80120                    0.18666                   1.33834         
          58.30                     80211                    0.18753                   1.33760         
          58.40                     80291                    0.18662                   1.33668         
          58.50                     80450                    0.18647                   1.33568         
          58.60                     80742                    0.18466                   1.33499         
          58.70                     80715                    0.18675                   1.33847         
          58.80                     80986                    0.18541                   1.34037         
          58.90                     81109                    0.18532                   1.34142         
          59.00                     81236                    0.18454                   1.34138         
          59.10                     81337                    0.18554                   1.34154         
          59.20                     81443                    0.18518                   1.33880         
          59.30                     81584                    0.18470                   1.33575         
          59.40                     81639                    0.18687                   1.33360         
          59.50                     81652                    0.18578                   1.33565         
          59.60                     81926                    0.18625                   1.33507         
          59.70                     81878                    0.18775                   1.33697         
          59.80                     82223                    0.18615                   1.33534         
          59.90                     82511                    0.18611                   1.33421         
          60.00                     82628                    0.18573                   1.33267         
          60.10                     82700                    0.18480                   1.33085         
          60.20                     82696                    0.18542                   1.33178         
          60.30                     82938                    0.18265                   1.32938         
          60.40                     83031                    0.18134                   1.32904         
          60.50                     83046                    0.18330                   1.32628         
          60.60                     83075                    0.18281                   1.32541         
