             tauB                            r                             g(r)             
           100.000                         3.928                          2.647             
           100.000                         3.934                          2.634             
           100.000                         3.939                          2.617             
           100.000                         3.944                          2.561             
           100.000                         3.949                          2.549             
           100.000                         3.955                          2.478             
           100.000                         3.960                          2.435             
           100.000                         3.965                          2.366             
           100.000                         3.970                          2.398             
           100.000                         3.976                          2.339             
           100.000                         3.981                          2.323             
           100.000                         3.986                          2.302             
           100.000                         3.991                          2.294             
           100.000                         3.997                          2.245             
           100.000                         4.002                          2.207             
           100.000                         4.007                          2.217             
           100.000                         4.012                          2.247             
           100.000                         4.018                          2.178             
           100.000                         4.023                          2.166             
           100.000                         4.028                          2.180             
           100.000                         4.033                          2.169             
           100.000                         4.039                          2.229             
           100.000                         4.044                          2.237             
           100.000                         4.049                          2.236             
           100.000                         4.054                          2.324             
           100.000                         4.060                          2.305             
           100.000                         4.065                          2.276             
           100.000                         4.070                          2.330             
           100.000                         4.075                          2.344             
           100.000                         4.080                          2.355             
           100.000                         4.086                          2.385             
           100.000                         4.091                          2.438             
           100.000                         4.096                          2.492             
           100.000                         4.101                          2.489             
           100.000                         4.107                          2.540             
           100.000                         4.112                          2.570             
           100.000                         4.117                          2.613             
           100.000                         4.122                          2.666             
           100.000                         4.128                          2.665             
           100.000                         4.133                          2.666             
           100.000                         4.138                          2.764             
           100.000                         4.143                          2.801             
           100.000                         4.149                          2.828             
           100.000                         4.154                          2.843             
           100.000                         4.159                          2.879             
           100.000                         4.164                          2.897             
           100.000                         4.170                          2.874             
           100.000                         4.175                          2.868             
           100.000                         4.180                          2.946             
           100.000                         4.185                          2.965             
           100.000                         4.191                          2.945             
           100.000                         4.196                          2.975             
           100.000                         4.201                          2.995             
           100.000                         4.206                          2.987             
           100.000                         4.211                          2.966             
           100.000                         4.217                          2.992             
           100.000                         4.222                          3.013             
           100.000                         4.227                          3.019             
           100.000                         4.232                          3.047             
           100.000                         4.238                          2.982             
           100.000                         4.243                          2.985             
           100.000                         4.248                          2.992             
           100.000                         4.253                          2.982             
           100.000                         4.259                          2.940             
           100.000                         4.264                          2.945             
           100.000                         4.269                          2.920             
           100.000                         4.274                          2.905             
           100.000                         4.280                          2.890             
           100.000                         4.285                          2.876             
           100.000                         4.290                          2.859             
           100.000                         4.295                          2.871             
           100.000                         4.301                          2.762             
           100.000                         4.306                          2.820             
           100.000                         4.311                          2.767             
           100.000                         4.316                          2.747             
           100.000                         4.322                          2.749             
           100.000                         4.327                          2.728             
           100.000                         4.332                          2.718             
           100.000                         4.337                          2.710             
           100.000                         4.343                          2.724             
           100.000                         4.348                          2.677             
           100.000                         4.353                          2.639             
           100.000                         4.358                          2.640             
           100.000                         4.363                          2.628             
           100.000                         4.369                          2.619             
           100.000                         4.374                          2.613             
           100.000                         4.379                          2.516             
           100.000                         4.384                          2.523             
           100.000                         4.390                          2.520             
           100.000                         4.395                          2.450             
           100.000                         4.400                          2.468             
           100.000                         4.405                          2.421             
           100.000                         4.411                          2.384             
           100.000                         4.416                          2.394             
           100.000                         4.421                          2.382             
           100.000                         4.426                          2.385             
           100.000                         4.432                          2.319             
           100.000                         4.437                          2.287             
           100.000                         4.442                          2.272             
           100.000                         4.447                          2.304             
           100.000                         4.453                          2.334             
           100.000                         4.458                          2.306             
           100.000                         4.463                          2.272             
           100.000                         4.468                          2.326             
           100.000                         4.474                          2.277             
           100.000                         4.479                          2.285             
           100.000                         4.484                          2.331             
           100.000                         4.489                          2.325             
           100.000                         4.494                          2.289             
           100.000                         4.500                          2.337             
           100.000                         4.505                          2.363             
           100.000                         4.510                          2.379             
           100.000                         4.515                          2.435             
           100.000                         4.521                          2.496             
           100.000                         4.526                          2.506             
           100.000                         4.531                          2.509             
           100.000                         4.536                          2.566             
           100.000                         4.542                          2.621             
           100.000                         4.547                          2.653             
           100.000                         4.552                          2.642             
           100.000                         4.557                          2.703             
           100.000                         4.563                          2.731             
           100.000                         4.568                          2.751             
           100.000                         4.573                          2.778             
           100.000                         4.578                          2.855             
           100.000                         4.584                          2.867             
           100.000                         4.589                          2.956             
           100.000                         4.594                          2.957             
           100.000                         4.599                          2.940             
           100.000                         4.605                          2.950             
           100.000                         4.610                          2.957             
           100.000                         4.615                          2.959             
           100.000                         4.620                          2.957             
           100.000                         4.626                          3.024             
           100.000                         4.631                          3.001             
           100.000                         4.636                          2.997             
           100.000                         4.641                          3.003             
           100.000                         4.646                          2.951             
           100.000                         4.652                          2.982             
