 ALL 	  AA 	  AB 	  BB 
1.0002	0.9992	0.9974	0.9968
0.9979	0.9998	0.9987	1.0006
1.0014	0.9985	0.9977	1.0038
0.9967	1.0137	0.9984	1.0029
0.9977	0.9985	1.0017	0.9986
0.9990	1.0014	1.0025	1.0014
0.9993	0.9994	0.9838	1.0196
0.9991	1.0014	1.0044	0.9968
0.9995	0.9980	1.0009	1.0016
1.0000	0.9967	0.9985	0.9995
0.9999	0.9997	1.0001	0.9995
0.9986	0.9999	1.0021	1.0028
1.0038	0.9999	0.9993	1.0051
1.0006	1.0020	1.0004	0.9994
1.0005	0.9993	1.0009	0.9948
1.0015	0.9995	1.0002	0.9974
0.9998	0.9970	1.0002	0.9993
0.9995	0.9999	0.9976	1.0009
1.0006	0.9997	0.9999	0.9991
1.0000	1.0027	0.9996	1.0023
1.0036	1.0004	1.0009	1.0041
1.0001	1.0038	0.9997	1.0004
0.9980	1.0025	0.9957	0.9997
1.0001	1.0006	1.0023	1.0025
0.9946	1.0008	1.0014	0.9999
0.9999	1.0002	1.0011	0.9961
1.0012	1.0013	1.0013	0.9941
0.9999	1.0009	0.9993	0.9968
1.0005	1.0013	1.0008	0.9960
0.9981	0.9999	0.9995	0.9994
0.9998	1.0040	1.0003	1.0242
1.0008	0.9972	1.0010	1.0495
1.0024	0.9993	0.9995	0.9993
1.0012	0.9996	1.0010	1.0551
0.9997	0.9977	1.0012	0.9996
0.9976	0.9996	0.9986	1.0016
1.0000	1.0009	0.9978	1.0009
0.9962	1.0009	1.0783	0.9990
1.0005	1.0027	0.9973	0.9999
1.0043	1.0020	1.0031	0.9995
1.0033	1.0026	0.9999	0.9950
1.0458	1.0022	0.9986	1.0005
1.0000	1.0029	1.0005	0.9992
1.0011	0.9959	1.0002	0.9999
1.0004	1.0006	0.9992	1.0026
1.0001	1.0021	0.9997	1.0042
0.9998	0.9995	0.9990	0.9979
