PeB,PeA,xA,PS
70,130,60,1
70,130,70,1
70,130,80,1
70,130,90,1
70,130,100,1
70,140,0,1
70,140,10,1
70,140,20,1
70,140,30,1
70,140,40,1
70,140,50,1
70,140,60,1
70,140,70,1
70,140,80,1
70,140,90,1
70,140,100,1
70,150,0,1
70,150,10,1
70,150,20,1
70,150,30,1
70,150,40,1
70,150,50,1
70,150,60,1
70,150,70,1
70,150,80,1
70,150,90,1
70,150,100,1
80,0,0,1
80,0,10,1
80,0,20,1
80,0,30,1
80,0,40,1
80,0,50,0
80,0,60,0
80,0,70,0
80,0,80,0
80,0,90,0
80,0,100,0
80,10,0,1
80,10,10,1
80,10,20,1
80,10,30,1
80,10,40,1
80,10,50,0
80,10,60,0
80,10,70,0
80,10,80,0
80,10,90,0
80,10,100,0
80,20,0,1
80,20,10,1
80,20,20,1
80,20,30,1
80,20,40,1
80,20,50,1
80,20,60,0
80,20,70,0
80,20,80,0
80,20,90,0
80,20,100,0
80,30,0,1
80,30,10,1
80,30,20,1
80,30,30,1
80,30,40,1
80,30,50,1
80,30,60,1
80,30,70,0
80,30,80,0
80,30,90,0
80,30,100,0
80,40,0,1
80,40,10,1
80,40,20,1
80,40,30,1
80,40,40,1
80,40,50,1
80,40,60,1
80,40,70,1
80,40,80,1
80,40,90,0
80,40,100,0
80,50,0,1
80,50,10,1
80,50,20,1
80,50,30,1
80,50,40,1
80,50,50,1
80,50,60,1
80,50,70,1
80,50,80,1
80,50,90,1
80,50,100,1
80,60,0,1
80,60,10,1
80,60,20,1
80,60,30,1
80,60,40,1
80,60,50,1
80,60,60,1
80,60,70,1
80,60,80,1
80,60,90,1
80,60,100,1
80,70,0,1
80,70,10,1
80,70,20,1
80,70,30,1
80,70,40,1
80,70,50,1
80,70,60,1
80,70,70,1
80,70,80,1
80,70,90,1
80,70,100,1
80,80,0,1
80,80,10,1
80,80,20,1
80,80,30,1
80,80,40,1
80,80,50,1
80,80,60,1
80,80,70,1
80,80,80,1
80,80,90,1
80,80,100,1
80,90,0,1
80,90,10,1
80,90,20,1
80,90,30,1
80,90,40,1
80,90,50,1
80,90,60,1
80,90,70,1
80,90,80,1
80,90,90,1
80,90,100,1
80,100,0,1
80,100,10,1
80,100,20,1
80,100,30,1
80,100,40,1
80,100,50,1
80,100,60,1
80,100,70,1
80,100,80,1
80,100,90,1
80,100,100,1
80,110,0,1
80,110,10,1
80,110,20,1
80,110,30,1
80,110,40,1
