 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  42.166        127007.676           936779.893             7.376              13392.529           29108565.991           2173.493           1310655.413             605.1                44616        
  42.333        126893.837           927271.573             7.307              13516.487           28754456.636           2127.362           1275631.030             601.7                44668        
  42.500        127063.331           930205.616             7.321              13392.529           29085504.285           2171.771           1278001.013             590.5                44517        
  42.666        127178.434           947668.497             7.451              13298.928           29765939.716           2238.221           1274508.491             571.3                44389        
  42.833        127136.693           911524.372             7.170              13290.074           30372130.297           2285.324           1334889.367             586.0                44573        
  43.000        127024.119           931190.625             7.331              13349.524           30789872.039           2306.440           1362681.957             592.7                44735        
  43.166        126983.643           908083.987             7.151              13360.907           30349009.002           2271.478           1364986.198             602.8                44704        
  43.333        127127.839           929168.165             7.309              13324.226           30019100.392           2252.971           1310799.242             583.7                44573        
  43.500        127124.045           933783.820             7.345              13371.027           30350583.355           2269.877           1277387.516             564.6                44640        
  43.666        127175.905           928142.798             7.298              13344.464           30554103.417           2289.646           1247505.642             546.6                44593        
  43.833        127249.268           929584.594             7.305              13296.399           30608879.380           2302.043           1241373.439             541.0                44523        
  44.000        127103.807           915340.007             7.202              13357.113           30410031.511           2276.692           1309393.146             577.0                44715        
  44.166        127077.244           909620.558             7.158              13397.589           30084998.416           2245.553           1273830.415             569.1                44812        
  44.333        126912.810           909606.184             7.167              13507.633           29769565.132           2203.907           1306948.868             594.9                44917        
  44.500        126879.923           915470.154             7.215              13496.249           29216634.558           2164.797           1283651.655             594.9                44789        
  44.666        127079.774           932440.468             7.337              13451.979           29222567.401           2172.362           1171203.179             541.0                44554        
  44.833        127255.592           935074.686             7.348              13259.717           29934372.425           2257.542           1227399.932             545.5                44375        
  45.000        127021.590           914010.381             7.196              13326.756           29807710.120           2236.682           1366550.166             612.9                44499        
  45.166        127055.741           929592.013             7.316              13239.479           30018468.478           2267.345           1405605.427             621.9                44395        
  45.333        127168.315           927172.830             7.291              13235.685           30293829.974           2288.800           1357382.184             594.9                44409        
  45.500        127461.767           934877.997             7.335              13164.851           30108890.145           2287.066           1197360.685             525.2                44200        
  45.666        127145.548           914599.703             7.193              13379.881           29664849.411           2217.124           1205437.372             545.5                44468        
  45.833        127120.250           928398.359             7.303              13254.658           29675961.064           2238.908           1367848.926             612.9                44351        
  46.000        127164.521           938872.116             7.383              13287.545           29909102.691           2250.913           1266659.406             564.6                44350        
  46.166        127208.792           925857.610             7.278              13267.306           30053999.445           2265.268           1272283.666             563.5                44428        
