             tauB                            r                             g(r)             
           100.000                         3.362                          1.293             
           100.000                         3.368                          1.227             
           100.000                         3.373                          1.157             
           100.000                         3.378                          1.133             
           100.000                         3.383                          1.136             
           100.000                         3.389                          1.082             
           100.000                         3.394                          1.055             
           100.000                         3.399                          1.030             
           100.000                         3.404                          0.984             
           100.000                         3.410                          1.000             
           100.000                         3.415                          0.959             
           100.000                         3.420                          0.964             
           100.000                         3.425                          0.962             
           100.000                         3.431                          0.965             
           100.000                         3.436                          0.994             
           100.000                         3.441                          1.032             
           100.000                         3.446                          1.027             
           100.000                         3.452                          1.073             
           100.000                         3.457                          1.094             
           100.000                         3.462                          1.128             
           100.000                         3.467                          1.172             
           100.000                         3.473                          1.206             
           100.000                         3.478                          1.293             
           100.000                         3.483                          1.311             
           100.000                         3.488                          1.363             
           100.000                         3.493                          1.461             
           100.000                         3.499                          1.523             
           100.000                         3.504                          1.635             
           100.000                         3.509                          1.694             
           100.000                         3.514                          1.774             
           100.000                         3.520                          1.882             
           100.000                         3.525                          1.955             
           100.000                         3.530                          2.056             
           100.000                         3.535                          2.193             
           100.000                         3.541                          2.236             
           100.000                         3.546                          2.325             
           100.000                         3.551                          2.443             
           100.000                         3.556                          2.499             
           100.000                         3.562                          2.550             
           100.000                         3.567                          2.609             
           100.000                         3.572                          2.638             
           100.000                         3.577                          2.759             
           100.000                         3.583                          2.731             
           100.000                         3.588                          2.835             
           100.000                         3.593                          2.819             
           100.000                         3.598                          2.881             
           100.000                         3.604                          2.863             
           100.000                         3.609                          2.895             
           100.000                         3.614                          2.855             
           100.000                         3.619                          2.863             
           100.000                         3.625                          2.892             
           100.000                         3.630                          2.897             
           100.000                         3.635                          2.890             
           100.000                         3.640                          2.874             
           100.000                         3.645                          2.880             
           100.000                         3.651                          2.869             
           100.000                         3.656                          2.882             
           100.000                         3.661                          2.863             
           100.000                         3.666                          2.856             
           100.000                         3.672                          2.871             
           100.000                         3.677                          2.907             
           100.000                         3.682                          2.919             
           100.000                         3.687                          2.935             
           100.000                         3.693                          2.957             
           100.000                         3.698                          2.948             
           100.000                         3.703                          2.992             
           100.000                         3.708                          2.969             
           100.000                         3.714                          3.017             
           100.000                         3.719                          3.027             
           100.000                         3.724                          3.002             
           100.000                         3.729                          3.010             
           100.000                         3.735                          3.066             
           100.000                         3.740                          3.070             
           100.000                         3.745                          3.016             
           100.000                         3.750                          3.084             
           100.000                         3.756                          2.996             
           100.000                         3.761                          3.017             
           100.000                         3.766                          3.009             
           100.000                         3.771                          2.968             
           100.000                         3.776                          2.904             
           100.000                         3.782                          2.897             
           100.000                         3.787                          2.839             
           100.000                         3.792                          2.768             
           100.000                         3.797                          2.714             
           100.000                         3.803                          2.615             
           100.000                         3.808                          2.530             
           100.000                         3.813                          2.457             
           100.000                         3.818                          2.391             
           100.000                         3.824                          2.315             
           100.000                         3.829                          2.217             
           100.000                         3.834                          2.115             
           100.000                         3.839                          2.076             
           100.000                         3.845                          2.004             
           100.000                         3.850                          1.949             
           100.000                         3.855                          1.888             
           100.000                         3.860                          1.777             
           100.000                         3.866                          1.731             
           100.000                         3.871                          1.615             
           100.000                         3.876                          1.584             
           100.000                         3.881                          1.511             
           100.000                         3.887                          1.433             
           100.000                         3.892                          1.383             
           100.000                         3.897                          1.334             
           100.000                         3.902                          1.265             
