 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
5350000.00   35504        0        35504      14496        0        14496       3123        0         3123       402       0.9182     0.9182     0.0000     0.0000      0.44    1859.9430    0.0000   1859.9430  9175.1101    0.0000   9175.1101   78539.82 
5400000.00   36428        0        36428      13572        0        13572       3115        0         3115       377       0.9388     0.9388     0.0000     0.0000      0.44    1853.9702    0.0000   1853.9702  8543.7530    0.0000   8543.7530   78539.82 
5450000.00   36531        0        36531      13469        0        13469       3140        0         3140       336       0.9356     0.9356     0.0000     0.0000      0.44    1874.6175    0.0000   1874.6175  8475.7076    0.0000   8475.7076   78539.82 
5500000.00   37260        0        37260      12740        0        12740       3177        0         3177       398       0.9318     0.9318     0.0000     0.0000      0.44    1892.2824    0.0000   1892.2824  7987.0142    0.0000   7987.0142   78539.82 
5550000.00   35377        0        35377      14623        0        14623       3405        0         3405       443       0.9541     0.9541     0.0000     0.0000      0.44    2042.4245    0.0000   2042.4245  9236.1614    0.0000   9236.1614   78539.82 
5600000.00   36486        0        36486      13514        0        13514       3294        0         3294       409       0.9223     0.9223     0.0000     0.0000      0.44    1952.3244    0.0000   1952.3244  8460.2703    0.0000   8460.2703   78539.82 
5650000.00   35313        0        35313      14687        0        14687       3409        0         3409       419       0.9354     0.9354     0.0000     0.0000      0.44    2018.5053    0.0000   2018.5053  9222.2358    0.0000   9222.2358   78539.82 
5700000.00   35133        0        35133      14867        0        14867       3376        0         3376       424       0.9569     0.9569     0.0000     0.0000      0.44    1993.2415    0.0000   1993.2415  9324.6351    0.0000   9324.6351   78539.82 
5750000.00   34664        0        34664      15336        0        15336       3484        0         3484       403       0.9125     0.9125     0.0000     0.0000      0.44    2060.6589    0.0000   2060.6589  9634.6459    0.0000   9634.6459   78539.82 
5800000.00   34803        0        34803      15197        0        15197       3468        0         3468       460       0.9319     0.9319     0.0000     0.0000      0.44    2042.0586    0.0000   2042.0586  9539.2317    0.0000   9539.2317   78539.82 
5850000.00   34565        0        34565      15435        0        15435       3510        0         3510       497       0.9383     0.9383     0.0000     0.0000      0.44    2072.7696    0.0000   2072.7696  9688.2758    0.0000   9688.2758   78539.82 
5900000.00   34002        0        34002      15998        0        15998       3527        0         3527       444       0.9197     0.9197     0.0000     0.0000      0.44    2078.7571    0.0000   2078.7571  10055.4144   0.0000   10055.4144  78539.82 
5950000.00   33627        0        33627      16373        0        16373       3509        0         3509       467       0.9311     0.9311     0.0000     0.0000      0.44    2065.2664    0.0000   2065.2664  10300.4034   0.0000   10300.4034  78539.82 
